paper_id,doi,publication_year,author_position,author_name,orcid,institutions,institution_countries,institution_rors
W2380489056,10.1177/0098628316677643,2016,first,Gijsbert Stoet,0000-0002-7557-483X,Leeds Beckett University,GB,02xsh5r57
W2395161098,,2014,first,Erik Weitnauer,,Indiana University,US,01kg8sb98
W2395161098,,2014,middle,Paulo F. Carvalho,0000-0002-0449-3733,Indiana University,US,01kg8sb98
W2395161098,,2014,middle,Robert L. Goldstone,0000-0001-8357-8358,Indiana University,US,01kg8sb98
W2395161098,,2014,last,Helge Ritter,0000-0003-1703-1906,Bielefeld University,DE,02hpadn98
W2395532903,,2014,first,Joshua R. de Leeuw,0000-0003-4815-2364,Indiana University,US,01kg8sb98
W2395532903,,2014,middle,Jan Andrews,,Vassar College,US,022x6qg61
W2395532903,,2014,last,Kenneth R. Livingston,,Vassar College,US,022x6qg61
W2396683971,,2015,first,Joshua R. de Leeuw,0000-0003-4815-2364,Indiana University,US,01kg8sb98
W2396683971,,2015,last,Jan Andrews,,Vassar College,US,022x6qg61
W2398166518,,2016,first,Mark A. Heilman,0000-0001-5352-2767,Walden University,US,02qp2hh41
W2399914629,,2014,first,Josh de Leeuw,,,,
W2399914629,,2014,middle,Anna Coenen,,,,
W2399914629,,2014,middle,Douglas Markant,0000-0003-0568-2648,,,
W2399914629,,2014,middle,Jay B. Martin,,,,
W2399914629,,2014,middle,John V. McDonnell,,,,
W2399914629,,2014,middle,Alexander Rich,,,,
W2399914629,,2014,last,Todd M. Gureckis,0000-0002-7139-4778,,,
W2402639798,,2015,first,Josh de Leeuw,,,,
W2402639798,,2015,last,Robert L. Goldstone,0000-0001-8357-8358,,,
W2402693618,,2015,first,Josh de Leeuw,,Indiana University,US,01kg8sb98
W2406008613,,2013,first,Erik Weitnauer,,,,
W2406008613,,2013,middle,Paulo F. Carvalho,0000-0002-0449-3733,,,
W2406008613,,2013,middle,Robert L. Goldstone,0000-0001-8357-8358,,,
W2406008613,,2013,last,Helge Ritter,0000-0003-1703-1906,,,
W2418502654,10.1097/j.pain.0000000000000627,2016,first,Nina Attridge,0000-0001-9586-372X,Loughborough University,GB,04vg4w365
W2418502654,10.1097/j.pain.0000000000000627,2016,middle,Edmund Keogh,0000-0002-1615-3699,Apple (Israel); University of Bath,IL; GB,04ehjr030; 002h8g185
W2418502654,10.1097/j.pain.0000000000000627,2016,last,Christopher Eccleston,0000-0003-0698-1543,Apple (Israel); University of Bath,IL; GB,04ehjr030; 002h8g185
W2463112093,10.3389/fpsyg.2016.01008,2016,first,Lindsey G. van Bokhorst,,Maastricht University,NL,02jz4aj89
W2463112093,10.3389/fpsyg.2016.01008,2016,middle,Lenka Knapová,0000-0002-1366-8961,Masaryk University,CZ,02j46qs45
W2463112093,10.3389/fpsyg.2016.01008,2016,middle,Kim Majoranc,,University of Ljubljana,SI,05njb9z20
W2463112093,10.3389/fpsyg.2016.01008,2016,middle,Zea K. Szebeni,,Eötvös Loránd University,HU,01jsq2704
W2463112093,10.3389/fpsyg.2016.01008,2016,middle,Adam Táborský,,Masaryk University,CZ,02j46qs45
W2463112093,10.3389/fpsyg.2016.01008,2016,middle,Dragana Tomić,,University of Banja Luka,BA,0282m7c06
W2463112093,10.3389/fpsyg.2016.01008,2016,last,Elena Cañadas,0000-0003-1697-3440,University of Lausanne,CH,019whta54
W2463551592,10.3758/s13423-016-1099-1,2016,first,Stephen C. Van Hedger,0000-0002-2448-9088,University of Chicago,US,024mw5h28
W2463551592,10.3758/s13423-016-1099-1,2016,middle,Shannon L. M. Heald,0000-0002-1001-9114,University of Chicago,US,024mw5h28
W2463551592,10.3758/s13423-016-1099-1,2016,middle,Alex Y. Huang,0000-0002-5701-4521,University of Chicago,US,024mw5h28
W2463551592,10.3758/s13423-016-1099-1,2016,middle,Brooke Rutstein,,University of Chicago,US,024mw5h28
W2463551592,10.3758/s13423-016-1099-1,2016,last,Howard C. Nusbaum,0000-0001-8032-7297,University of Chicago,US,024mw5h28
W2471426686,10.3758/s13428-016-0776-3,2016,first,Svetlana Pinet,0000-0002-8532-9950,Centre National de la Recherche Scientifique; Aix-Marseille Université; Laboratoire de Psychologie Cognitive,FR; FR; FR,02feahw73; 035xkbk20; 01rf5x574
W2471426686,10.3758/s13428-016-0776-3,2016,middle,Christelle Zielinski,,Centre National de la Recherche Scientifique; Aix-Marseille Université; Laboratoire Parole et Langage,FR; FR; FR,02feahw73; 035xkbk20; 05whq8x35
W2471426686,10.3758/s13428-016-0776-3,2016,middle,Sebastiaan Mathôt,0000-0003-3379-8584,Centre National de la Recherche Scientifique; Aix-Marseille Université; European Organization for Nuclear Research,FR; FR; CH,02feahw73; 035xkbk20; 01ggx4157
W2471426686,10.3758/s13428-016-0776-3,2016,middle,Stéphane Dufau,0000-0002-2692-2084,Centre National de la Recherche Scientifique; Aix-Marseille Université; Laboratoire de Psychologie Cognitive,FR; FR; FR,02feahw73; 035xkbk20; 01rf5x574
W2471426686,10.3758/s13428-016-0776-3,2016,middle,F.‐Xavier Alario,0000-0002-8627-5034,Centre National de la Recherche Scientifique; Aix-Marseille Université; Laboratoire de Psychologie Cognitive,FR; FR; FR,02feahw73; 035xkbk20; 01rf5x574
W2471426686,10.3758/s13428-016-0776-3,2016,last,Marieke Longcamp,0000-0003-0454-2934,Centre National de la Recherche Scientifique; Aix-Marseille Université; Laboratoire de Neurosciences Cognitives,FR; FR; FR,02feahw73; 035xkbk20; 02dg3n954
W2472777849,10.3758/s13428-016-0758-5,2016,first,Stian Reimers,0000-0002-9497-0942,"City, University of London",GB,04489at23
W2472777849,10.3758/s13428-016-0758-5,2016,last,Neil Stewart,0000-0002-2202-018X,University of Warwick,GB,01a77tt86
W2497899199,10.1525/collabra.32,2016,first,Joshua R. de Leeuw,0000-0003-4815-2364,Indiana University Bloomington,US,02k40bc56
W2497899199,10.1525/collabra.32,2016,middle,Janet K. Andrews,,Vassar College,US,022x6qg61
W2497899199,10.1525/collabra.32,2016,middle,Kenneth R. Livingston,,Vassar College,US,022x6qg61
W2497899199,10.1525/collabra.32,2016,last,Benjamin M. Chin,0000-0002-5613-568X,University of Pennsylvania,US,00b30xv10
W2518812054,10.1007/s10648-016-9386-y,2016,first,Luke G. Eglington,0000-0002-8432-9203,Dartmouth College,US,049s0rh22
W2518812054,10.1007/s10648-016-9386-y,2016,last,Sean H. K. Kang,0000-0001-9017-3615,Dartmouth College,US,049s0rh22
W2519776778,10.1038/srep32689,2016,first,Pablo Garaizar,0000-0001-8160-9130,Universidad de Deusto,ES,00ne6sr39
W2519776778,10.1038/srep32689,2016,middle,Carmelo P. Cubillas,0000-0002-2012-7071,Universidad a Distancia de Madrid,ES,01r9skd65
W2519776778,10.1038/srep32689,2016,last,Helena Matute,0000-0001-7221-1366,Universidad de Deusto,ES,00ne6sr39
W2521989032,10.1109/icma.2016.7558813,2016,first,Shuming Liu,0000-0002-4949-4318,Beijing Institute of Technology,CN,01skt4w74
W2521989032,10.1109/icma.2016.7558813,2016,middle,Xiaopeng Chen,0000-0003-1195-0282,Beijing Institute of Technology,CN,01skt4w74
W2521989032,10.1109/icma.2016.7558813,2016,middle,Di Fan,0000-0002-4503-9422,Beijing Institute of Technology,CN,01skt4w74
W2521989032,10.1109/icma.2016.7558813,2016,middle,Chen Xu,0000-0003-4397-4465,Beijing Institute of Technology,CN,01skt4w74
W2521989032,10.1109/icma.2016.7558813,2016,middle,Fei Meng,0000-0003-0919-6399,,,
W2521989032,10.1109/icma.2016.7558813,2016,last,Qiang Huang,0000-0003-1120-4685,,,
W2530960792,,2016,first,Erik Weitnauer,,,,
W2539565566,,2016,first,Rachel Ralston,,The Ohio State University,US,00rs6vg23
W2554399311,10.3758/s13428-016-0824-z,2016,first,Stefano Balietti,0000-0002-6056-6765,Northeastern University,US,04t5xt781
W2571098051,10.1146/annurev-orgpsych-041015-062400,2017,first,Dov Eden,,Tel Aviv University,IL,04mhzgx49
W2586047909,10.1007/978-3-319-47024-5_5,2017,first,Leslie M. Blaha,0000-0002-1532-3887,United States Air Force Research Laboratory,US,02e2egq70
W2586047909,10.1007/978-3-319-47024-5_5,2017,middle,Joseph W. Houpt,0000-0002-2784-5535,Wright State University,US,04qk6pt94
W2586047909,10.1007/978-3-319-47024-5_5,2017,middle,Mary E. Frame,0000-0002-4586-9987,Miami University,US,05nbqxr67
W2586047909,10.1007/978-3-319-47024-5_5,2017,last,Jacob A. Kern,,Wright State University,US,04qk6pt94
W2586179843,10.1080/23273798.2017.1283427,2017,first,Michele Scaltritti,0000-0002-3328-1748,Centre National de la Recherche Scientifique; Aix-Marseille Université,FR; FR,02feahw73; 035xkbk20
W2586179843,10.1080/23273798.2017.1283427,2017,middle,Svetlana Pinet,0000-0002-8532-9950,Aix-Marseille Université; Centre National de la Recherche Scientifique,FR; FR,035xkbk20; 02feahw73
W2586179843,10.1080/23273798.2017.1283427,2017,middle,Marieke Longcamp,0000-0003-0454-2934,Centre National de la Recherche Scientifique; Laboratoire de Neurosciences Cognitives; Aix-Marseille Université,FR; FR; FR,02feahw73; 02dg3n954; 035xkbk20
W2586179843,10.1080/23273798.2017.1283427,2017,last,F.‐Xavier Alario,0000-0002-8627-5034,Centre National de la Recherche Scientifique; Aix-Marseille Université,FR; FR,02feahw73; 035xkbk20
W2587363406,10.3758/s13428-017-0858-x,2017,first,Christopher R. Wolfe,0000-0001-6095-9457,Miami University,US,05nbqxr67
W2587381782,10.1111/spc3.12247,2016,first,Chelsea Schein,0000-0003-3846-0400,University of North Carolina at Chapel Hill,US,0130frc33
W2587381782,10.1111/spc3.12247,2016,middle,Neil Hester,0000-0003-3025-766X,University of North Carolina at Chapel Hill,US,0130frc33
W2587381782,10.1111/spc3.12247,2016,last,Kurt Gray,0000-0001-5816-2676,University of North Carolina at Chapel Hill,US,0130frc33
W2588019059,10.1111/lang.12230,2017,first,Jan Vanhove,0000-0002-4607-4836,University of Fribourg,CH,022fs9h90
W2588975025,10.1016/j.cognition.2017.01.013,2017,first,Hugh Rabagliati,0000-0001-9828-5857,University of Edinburgh,GB,01nrxwf90
W2588975025,10.1016/j.cognition.2017.01.013,2017,middle,Leonidas A. A. Doumas,0000-0002-4048-6282,University of Edinburgh,GB,01nrxwf90
W2588975025,10.1016/j.cognition.2017.01.013,2017,last,Douglas K. Bemis,,,,
W2589708998,,2016,first,Maryam Saberi,0000-0003-1761-9224,,,
W2589867887,10.1186/s41235-017-0051-x,2017,first,Macgregor D. Vogelsang,0000-0002-6206-2261,Indiana University Bloomington,US,02k40bc56
W2589867887,10.1186/s41235-017-0051-x,2017,middle,Thomas J. Palmeri,0000-0001-7617-9797,Vanderbilt University,US,02vm5rt34
W2589867887,10.1186/s41235-017-0051-x,2017,last,Thomas A. Busey,0000-0003-1654-8399,Indiana University Bloomington,US,02k40bc56
W2603618734,10.1177/2158244017698731,2017,first,Yoshimasa Majima,0000-0003-3579-1546,Hokusei Gakuen University,JP,02mqbt594
W2606316338,,2017,first,Hrvoje Stojić,0000-0002-9699-9052,,,
W2606861369,10.3758/s13428-017-0882-x,2017,first,John H. Krantz,,Hanover College,US,00vc14296
W2606861369,10.3758/s13428-017-0882-x,2017,last,Ulf‐Dietrich Reips,0000-0002-1566-4745,University of Konstanz,DE,0546hnb39
W2608490515,10.1080/23743603.2017.1298356,2016,first,Janis Zickfeld,0000-0001-7660-2719,University of Oslo,NO,01xtthb56
W2608490515,10.1080/23743603.2017.1298356,2016,last,Thomas W. Schubert,0000-0002-3797-4568,Iscte – Instituto Universitário de Lisboa,PT,014837179
W2609444433,10.1111/cdev.12812,2017,first,Linda Forssman,0000-0003-0208-4212,Uppsala University; Tampere University; Tampere University,SE; FI; FI,048a87296; 033003e23; 
W2609444433,10.1111/cdev.12812,2017,last,Sam Wass,0000-0002-7421-3493,University of East London,GB,057jrqr44
W2612491298,10.17851/2237-2083.25.3.971-1010,2017,first,Thiago Oliveira da Motta Sampaio,0000-0003-4153-0772,Universidade Estadual de Campinas (UNICAMP),BR,04wffgt70
W2612821194,10.1037/xlm0000609,2018,first,Ryan M Best,0000-0003-3108-4166,,,
W2612821194,10.1037/xlm0000609,2018,last,Robert L. Goldstone,0000-0001-8357-8358,,,
W2613704702,,2014,first,JR de Leeuw,,,,
W2613704702,,2014,middle,A Coenen,,,,
W2613704702,,2014,middle,Douglas Markant,0000-0003-0568-2648,,,
W2613704702,,2014,middle,Martin Jb,,,,
W2613704702,,2014,middle,JV McDonnell,,,,
W2613704702,,2014,middle,AS Rich,,,,
W2613704702,,2014,last,Todd M. Gureckis,0000-0002-7139-4778,,,
W2620084441,,2017,first,Florian Lier,0000-0001-9251-1075,,,
W2620084441,,2017,middle,Phillip Lücking,,,,
W2620084441,,2017,middle,Joshua R. de Leeuw,0000-0003-4815-2364,,,
W2620084441,,2017,middle,Sven Wachsmuth,0000-0001-5371-7214,,,
W2620084441,,2017,middle,Selma Šabanović,0000-0002-2553-854X,,,
W2620084441,,2017,last,Robert L. Goldstone,0000-0001-8357-8358,,,
W2620758985,10.1002/jocb.177,2017,first,Ana‐Maria Oltețeanu,0000-0002-0639-7956,University of Bremen,DE,04ers2y35
W2620758985,10.1002/jocb.177,2017,last,Holger Schultheis,0000-0001-6892-1656,University of Bremen,DE,04ers2y35
W2626783433,10.1523/eneuro.0113-17.2017,2017,first,Ioannis Kalfas,0000-0002-9957-1502,KU Leuven,BE,05f950310
W2626783433,10.1523/eneuro.0113-17.2017,2017,middle,Satwant Kumar,0000-0002-9054-2123,KU Leuven,BE,05f950310
W2626783433,10.1523/eneuro.0113-17.2017,2017,last,Rufin Vogels,0000-0002-8778-835X,KU Leuven,BE,05f950310
W2724740300,10.1016/j.actpsy.2017.06.007,2017,first,Jasmin Richter,0009-0003-9534-7903,University of Cologne,DE,00rcxh774
W2724740300,10.1016/j.actpsy.2017.06.007,2017,last,Anne Gast,0000-0001-5224-2448,University of Cologne,DE,00rcxh774
W2728433921,10.1016/j.tics.2017.06.007,2017,first,Neil Stewart,0000-0002-2202-018X,University of Warwick,GB,01a77tt86
W2728433921,10.1016/j.tics.2017.06.007,2017,middle,Jesse Chandler,0000-0001-8151-0915,University of Michigan; Applied Dynamics International (United States); Mathematica Policy Research,US; US; US,00jmfr291; 02bwxd425; 02403vr89
W2728433921,10.1016/j.tics.2017.06.007,2017,last,Gabriele Paolacci,0000-0002-9938-7940,Erasmus University Rotterdam,NL,057w15z03
W2738506570,10.1080/15298868.2017.1354066,2017,first,Joshua J. Reynolds,0000-0001-9205-0395,Stockton University,US,0442n1j98
W2738506570,10.1080/15298868.2017.1354066,2017,last,Sean M. McCrea,0000-0003-4241-5530,University of Wyoming,US,01485tq96
W2738638944,10.1371/journal.pone.0181775,2017,first,Benjamin Motz,0000-0002-0379-2184,Indiana University Bloomington,US,02k40bc56
W2738638944,10.1371/journal.pone.0181775,2017,middle,Joshua R. de Leeuw,0000-0003-4815-2364,Vassar College,US,022x6qg61
W2738638944,10.1371/journal.pone.0181775,2017,middle,Paulo F. Carvalho,0000-0002-0449-3733,Carnegie Mellon University,US,05x2bcf33
W2738638944,10.1371/journal.pone.0181775,2017,middle,Kaley L. Liang,,Indiana University Bloomington,US,02k40bc56
W2738638944,10.1371/journal.pone.0181775,2017,last,Robert L. Goldstone,0000-0001-8357-8358,Indiana University Bloomington,US,02k40bc56
W2739482557,10.46867/ijcp.2017.30.01.01,2017,first,Fernanda Pérez-Gay Juárez,0000-0002-8471-7265,Université du Québec à Montréal; McGill University,CA; CA,002rjbv21; 01pxwe438
W2739482557,10.46867/ijcp.2017.30.01.01,2017,middle,Christian Thériault,,Université du Québec à Montréal,CA,002rjbv21
W2739482557,10.46867/ijcp.2017.30.01.01,2017,middle,Madeline Gregory,,McGill University,CA,01pxwe438
W2739482557,10.46867/ijcp.2017.30.01.01,2017,middle,Hisham Sabri,0000-0003-0951-0464,Université du Québec à Montréal,CA,002rjbv21
W2739482557,10.46867/ijcp.2017.30.01.01,2017,middle,Dan Rivas,,Université du Québec à Montréal,CA,002rjbv21
W2739482557,10.46867/ijcp.2017.30.01.01,2017,last,Stevan Harnad,0000-0001-6153-1129,Université du Québec à Montréal; University of Southampton,CA; GB,002rjbv21; 01ryk1543
W2745399087,10.1016/j.jesp.2017.07.007,2017,first,John Paul Wilson,0000-0002-4275-2628,Montclair State University,US,01nxc2t48
W2745399087,10.1016/j.jesp.2017.07.007,2017,middle,Stephen G. Young,0000-0001-7270-3176,"The Graduate Center, CUNY; Baruch College",US; US,00awd9g61; 023qavy03
W2745399087,10.1016/j.jesp.2017.07.007,2017,middle,Nicholas O. Rule,0000-0002-2332-9058,University of Toronto,CA,03dbr7087
W2745399087,10.1016/j.jesp.2017.07.007,2017,last,Kurt Hugenberg,0000-0003-1195-6916,Miami University,US,05nbqxr67
W2747991162,10.1080/23273798.2017.1359634,2017,first,Scott Seyfarth,,"University of California, San Diego",US,0168r3w48
W2747991162,10.1080/23273798.2017.1359634,2017,middle,Marc Garellek,0000-0003-4949-3996,"University of California, San Diego",US,0168r3w48
W2747991162,10.1080/23273798.2017.1359634,2017,middle,Gwendolyn Gillingham,,"University of California, San Diego",US,0168r3w48
W2747991162,10.1080/23273798.2017.1359634,2017,middle,Farrell Ackerman,,"University of California, San Diego",US,0168r3w48
W2747991162,10.1080/23273798.2017.1359634,2017,last,Robert Malouf,,San Diego State University,US,0264fdx42
W2749698599,10.3758/s13428-017-0865-y,2017,first,Svetlana Pinet,0000-0002-8532-9950,Centre National de la Recherche Scientifique; Aix-Marseille Université; Laboratoire de Psychologie Cognitive,FR; FR; FR,02feahw73; 035xkbk20; 01rf5x574
W2749698599,10.3758/s13428-017-0865-y,2017,middle,Christelle Zielinski,,Centre National de la Recherche Scientifique; Aix-Marseille Université; Laboratoire Parole et Langage,FR; FR; FR,02feahw73; 035xkbk20; 05whq8x35
W2749698599,10.3758/s13428-017-0865-y,2017,middle,Sebastiaan Mathôt,0000-0003-3379-8584,Centre National de la Recherche Scientifique; Aix-Marseille Université; Laboratoire de Psychologie Cognitive,FR; FR; FR,02feahw73; 035xkbk20; 01rf5x574
W2749698599,10.3758/s13428-017-0865-y,2017,middle,Stéphane Dufau,0000-0002-2692-2084,Centre National de la Recherche Scientifique; Aix-Marseille Université; Laboratoire de Psychologie Cognitive,FR; FR; FR,02feahw73; 035xkbk20; 01rf5x574
W2749698599,10.3758/s13428-017-0865-y,2017,middle,F.‐Xavier Alario,0000-0002-8627-5034,Centre National de la Recherche Scientifique; Aix-Marseille Université; Laboratoire de Psychologie Cognitive,FR; FR; FR,02feahw73; 035xkbk20; 01rf5x574
W2749698599,10.3758/s13428-017-0865-y,2017,last,Marieke Longcamp,0000-0003-0454-2934,Centre National de la Recherche Scientifique; Aix-Marseille Université; Laboratoire de Neurosciences Cognitives,FR; FR; FR,02feahw73; 035xkbk20; 02dg3n954
W2754561015,10.3758/s13428-017-0958-7,2017,first,Pablo Garaizar,0000-0001-8160-9130,Universidad de Deusto,ES,00ne6sr39
W2754561015,10.3758/s13428-017-0958-7,2017,last,Miguel A. Vadillo,0000-0001-8421-816X,Universidad Autónoma de Madrid,ES,01cby8j38
W2754822586,10.1101/189399,2017,first,Ji Won Bang,0000-0002-9739-3474,Georgia Institute of Technology,US,01zkghx44
W2754822586,10.1101/189399,2017,middle,Medha Shekhar,0000-0002-5205-7274,Georgia Institute of Technology,US,01zkghx44
W2754822586,10.1101/189399,2017,last,Dobromir Rahnev,0000-0002-5265-2559,Georgia Institute of Technology,US,01zkghx44
W2756598621,10.1101/192377,2017,first,Sivananda Rajananda,0000-0002-0356-1095,"University of California, Los Angeles",US,046rm7j60
W2756598621,10.1101/192377,2017,middle,Hakwan Lau,0000-0001-8433-4232,"University of California, Los Angeles; University of Hong Kong",US; HK,046rm7j60; 02zhqgq86
W2756598621,10.1101/192377,2017,last,Brian Odegaard,0000-0002-5459-1884,"University of California, Los Angeles",US,046rm7j60
W2761548182,10.1080/10253890.2017.1380620,2017,first,Grant S. Shields,,"University of California, Davis",US,05rrcem69
W2761548182,10.1080/10253890.2017.1380620,2017,middle,Dominique Doty,0000-0001-5771-204X,University of Idaho,US,03hbp5t65
W2761548182,10.1080/10253890.2017.1380620,2017,middle,Rebecca H. Shields,0000-0001-9147-3134,"University of California, Davis",US,05rrcem69
W2761548182,10.1080/10253890.2017.1380620,2017,middle,Garrett Gower,,"University of California, Davis",US,05rrcem69
W2761548182,10.1080/10253890.2017.1380620,2017,middle,George M. Slavich,0000-0001-5710-3818,"University of California, Los Angeles",US,046rm7j60
W2761548182,10.1080/10253890.2017.1380620,2017,last,Andrew P. Yonelinas,0000-0002-9580-4997,"University of California, Davis",US,05rrcem69
W2762121273,10.31390/gradschool_dissertations.4094,2017,last,Justin Ory,,Louisiana State University Agricultural Center,US,01b8rza40
W2763189590,10.1016/j.brat.2017.09.014,2017,first,Ian W. Eisenberg,,Stanford University,US,00f54p054
W2763189590,10.1016/j.brat.2017.09.014,2017,middle,Patrick G. Bissett,0000-0003-0854-9404,Stanford University,US,00f54p054
